"False","Fisher","00:00","AnyTime","シルフズベーン","東部森林：青翠の奈落","雨","バターワーム -> 銅魚","339",""
"False","Fisher","00:00","AnyTime","インフェルノホーン","モードゥナ：タングル湿林源流","妖霧 -> 晴、快晴","グロウワーム","359",""
"False","Fisher","00:00","AnyTime","オオタキタロ","南部森林：ウルズの恵み","雷、雷雨","グロウワーム","387",""
"False","Fisher","00:00","AnyTime","ギガシャーク","中央ラノシア：サマーフォード沿岸","晴、快晴","シンキングミノー -> ハーバーヘリング","299",""
"False","Fisher","00:00","AnyTime","雷皇子","南部森林：根渡り沼","雷雨","カディスラーヴァ","355",""
"False","Fisher","00:00","AnyTime","スナガクレ","中央ラノシア：西アジェレス川","指定なし","ザリガニボール","306",""
"False","Fisher","00:00","AnyTime","ゴブスレイヤー","南部森林：ゴブリン族の生簀","雷、雷雨","ハニーワーム -> 銀魚","359",""
"False","Fisher","00:00","AnyTime","クリスタルパーチ","中央ラノシア：ささやきの谷","霧、風、曇","バターワーム","337",""
"False","Fisher","00:00","AnyTime","オオゴエナマズ","低地ラノシア：モーニングウィドー","指定なし","モスプパ","293",""
"False","Fisher","00:00","AnyTime","オシュオンプリント","低地ラノシア：モラビー湾西岸","指定なし","ゴビーボール","293",""
"False","Fisher","00:00","AnyTime","シルドラ","低地ラノシア：シダーウッド沿岸部","雨","スプーンワーム","339",""
"False","Fisher","00:00","AnyTime","ヴォイドバス","モードゥナ：早霜峠","晴or快晴 -> 妖霧","グロウワーム","378",""
"False","Fisher","00:00","AnyTime","シルバーソブリン","低地ラノシア：オシュオン灯台","指定なし","弓角","300",""
"False","Fisher","00:00","AnyTime","ナミタロ","南部森林：ウルズの恵み","雷、雷雨","トップウォーターフロッグ","399",""
"False","Fisher","00:00","AnyTime","マジック・マッシュルームクラブ","東部森林：シルフランド渓谷","雷or雨 -> 霧or曇","スピナーベイト -> スカルピン","373",""
"False","Fisher","00:00","AnyTime","フェアリークィーン","低地ラノシア：エンプティハート","曇、風、霧","スピナースピナーベイト","334",""
"False","Fisher","00:00","AnyTime","ブルーコープス","クルザス中央高地：スノークローク大氷壁","吹雪or雪 -> 晴、快晴","カディスラーヴァ","359",""
"False","Fisher","00:00","AnyTime","メイトリアーク","クルザス中央高地：調査隊の氷穴","指定なし","ハニーワーム -> アバラシアスメルト","349",""
"False","Fisher","00:00","03:59","カローンズランタン","クルザス中央高地：聖ダナフェンの旅程","吹雪、雪","グロウワーム","360",""
"False","Fisher","00:00","AnyTime","グリナー","南部森林：ハズーバ支流：東","晴、快晴、曇、霧、雷","ハナアブ","340",""
"False","Fisher","00:00","07:59","フローティングボルダー","南部森林：ハズーバ支流：下流","曇、霧","バスボール","352",""
"False","Fisher","00:00","AnyTime","ショニサウルス","クルザス中央高地：ウィッチドロップ","快晴or晴 -> 吹雪","ホバーワーム -> スプリットクラウド -> マハール","375",""
"False","Fisher","00:00","AnyTime","ドラウンドスナイパー","東ラノシア：東アジェレス川","晴、快晴","スナーブルフライ","349",""
"False","Fisher","00:00","AnyTime","テルプシコレアン","東ラノシア：レインキャッチャー樹林","霧","ハニーワーム","350",""
